Name,Light_Years_From_Earth,Planet_Mass,Stellar_Magnitude,Discovery_Date
GJ 581 e,21,1.7 Earths,10.56,2009
GJ 625 b,21,2.82 Earths,10.1,2017
GJ 649 b,34,0.328 Jupiters,9.69,2009
GJ 9827 d,97,4.04 Earths,10.25,2017
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
GJ 9827 d,97,4.04 Earths,10.25,2017
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
GJ 9827 d,97,4.04 Earths,10.25,2017
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
GJ 9827 d,97,4.04 Earths,10.25,2017
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
GJ 9827 d,97,4.04 Earths,10.25,2017
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
GJ 9827 d,97,4.04 Earths,10.25,2017
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
GJ 9827 d,97,4.04 Earths,10.25,2017
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
GJ 9827 d,97,4.04 Earths,10.25,2017
Gl 378 b,49,13.02 Earths,10.19,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.577,2018
GQ Lupi b,495,20 Jupiters,12.43,2004
GSC 06214-00210 b,473,16 Jupiters,12.375,2010
GU Piscium b,157,11.3 Jupiters,13.55,2014
HAT-P-11 b,123,26.69772 Earths,9.151,2008
HAT-P-11 c,123,2.3 Jupiters,9.151,2018
HAT-P-12 b,465,0.211 Jupiters,12.84,2009
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-13 b,698,0.851 Jupiters,10.622,2009
HAT-P-13 c,698,14.28 Jupiters,10.622,2009
HAT-P-14 b,731,3.44 Jupiters,9.98,2010
HAT-P-15 b,631,1.94 Jupiters,12.16,2010
HAT-P-16 b,767,4.193 Jupiters,10.812,2010
HAT-P-17 b,302,0.58 Jupiters,10.54,2010
HAT-P-17 c,302,3.4 Jupiters,10.54,2010
HAT-P-18 b,541,0.197 Jupiters,12.759,2010
HAT-P-19 b,701,0.292 Jupiters,12.901,2010
HAT-P-1 b,521,0.525 Jupiters,10.34,2006
HAT-P-20 b,228,7.246 Jupiters,11.339,2010
HAT-P-21 b,912,4.87 Jupiters,11.685,2010
HAT-P-22 b,267,2.47 Jupiters,9.732,2010
HAT-P-23 b,1202,1.34 Jupiters,12.432,2010
HAT-P-24 b,1371,0.75 Jupiters,11.818,2010
HAT-P-25 b,988,0.569 Jupiters,13.19,2010
HAT-P-26 b,465,22.2481 Earths,11.744,2010
HAT-P-27 b,665,0.62 Jupiters,11.956,2011
HAT-P-28 b,1288,0.626 Jupiters,13.03,2011
HAT-P-29 b,1032,0.88 Jupiters,11.9,2011
HAT-P-20 b,228,7.246 Jupiters,11.339,2010
HAT-P-21 b,912,4.87 Jupiters,11.685,2010
HAT-P-22 b,267,2.47 Jupiters,9.732,2010
HAT-P-23 b,1202,1.34 Jupiters,12.432,2010
HAT-P-24 b,1371,0.75 Jupiters,11.818,2010
HAT-P-25 b,988,0.569 Jupiters,13.19,2010
HAT-P-26 b,465,22.2481 Earths,11.744,2010
HAT-P-27 b,665,0.62 Jupiters,11.956,2011
HAT-P-28 b,1288,0.626 Jupiters,13.03,2011
HAT-P-29 b,1032,0.88 Jupiters,11.9,2011
HAT-P-20 b,228,7.246 Jupiters,11.339,2010
HAT-P-21 b,912,4.87 Jupiters,11.685,2010
HAT-P-22 b,267,2.47 Jupiters,9.732,2010
HAT-P-23 b,1202,1.34 Jupiters,12.432,2010
HAT-P-24 b,1371,0.75 Jupiters,11.818,2010
HAT-P-25 b,988,0.569 Jupiters,13.19,2010
HAT-P-26 b,465,22.2481 Earths,11.744,2010
HAT-P-27 b,665,0.62 Jupiters,11.956,2011
HAT-P-28 b,1288,0.626 Jupiters,13.03,2011
HAT-P-29 b,1032,0.88 Jupiters,11.9,2011
HAT-P-49 b,1154,2.2 Jupiters,10.326,2014
HAT-P-4 b,1024,0.671 Jupiters,11.118,2007
HAT-P-50 b,1621,1.35 Jupiters,11.762,2015
HAT-P-51 b,1533,0.309 Jupiters,13.44,2015
HAT-P-52 b,1256,0.818 Jupiters,14.068,2015
HAT-P-53 b,2345,1.484 Jupiters,13.73,2015
HAT-P-54 b,471,0.76 Jupiters,13.017,2015
HAT-P-55 b,1566,0.582 Jupiters,13.207,2015
HAT-P-56 b,1055,2.31 Jupiters,10.908,2015
HAT-P-57 b,920,1.41 Jupiters,10.465,2015
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-5 b,998,0.98 Jupiters,12,2007
HAT-P-65 b,2743,0.527 Jupiters,13.145,2016
HAT-P-66 b,3024,0.783 Jupiters,12.993,2016
HAT-P-67 b,1044,0.34 Jupiters,10.069,2017
HAT-P-68 b,662,0.724 Jupiters,13.937,2020
HAT-P-69 b,1122,3.58 Jupiters,9.773,2019
HAT-P-6 b,905,1.32 Jupiters,10.44,2007
HAT-P-70 b,1073,6.78 Jupiters,9.452,2019
HAT-P-7 b,1124,1.84 Jupiters,10.365,2008
HAT-P-8 b,694,1.28 Jupiters,10.3,2008
HAT-P-9 b,1566,0.749 Jupiters,12.297,2008
HATS-10 b,1618,0.526 Jupiters,13.113,2015
HATS-11 b,3155,0.83 Jupiters,14.018,2016
HATS-12 b,1671,2.39 Jupiters,12.756,2016
HATS-13 b,1553,0.543 Jupiters,13.887,2015
HATS-14 b,1673,1.071 Jupiters,13.79,2015
HATS-15 b,2248,2.17 Jupiters,14.774,2016
HATS-16 b,2525,3.27 Jupiters,13.834,2016
HATS-17 b,1106,1.338 Jupiters,12.39,2016
HATS-18 b,2104,1.9795 Jupiters,14.067,2016
HAT-P-9 b,1566,0.749 Jupiters,12.297,2008
HATS-10 b,1618,0.526 Jupiters,13.113,2015
HATS-11 b,3155,0.83 Jupiters,14.018,2016
HATS-12 b,1671,2.39 Jupiters,12.756,2016
HATS-13 b,1553,0.543 Jupiters,13.887,2015
HATS-14 b,1673,1.071 Jupiters,13.79,2015
HATS-15 b,2248,2.17 Jupiters,14.774,2016
HATS-16 b,2525,3.27 Jupiters,13.834,2016
HATS-17 b,1106,1.338 Jupiters,12.39,2016
HATS-18 b,2104,1.9795 Jupiters,14.067,2016
HATS-30 b,1106,0.706 Jupiters,12.192,2016
HATS-31 b,2844,0.88 Jupiters,13.105,2016
HATS-32 b,2737,0.92 Jupiters,14.384,2016
HATS-33 b,832,1.192 Jupiters,11.911,2016
HATS-34 b,1735,0.941 Jupiters,13.849,2016
HATS-35 b,1817,1.222 Jupiters,12.56,2016
HATS-36 b,2866,3.216 Jupiters,14.386,2018
HATS-37 A b,689,31.46517 Earths,12.266,2020
HATS-38 b,1134,23.51942 Earths,12.411,2020
HATS-39 b,2522,0.63 Jupiters,12.746,2018
HATS-49 b,1059,0.353 Jupiters,14.998,2020
HATS-4 b,1370,1.323 Jupiters,13.459,2014
HATS-50 b,2339,0.39 Jupiters,14.033,2017
HATS-51 b,1559,0.768 Jupiters,12.471,2017
HATS-52 b,2058,2.24 Jupiters,13.669,2017
HATS-53 b,2000,0.595 Jupiters,13.79,2017
HATS-54 b,2508,0.76 Jupiters,13.913,2019
HATS-55 b,2034,0.921 Jupiters,13.47,2019
HATS-56 b,1883,0.602 Jupiters,11.578,2019
HATS-57 b,913,3.147 Jupiters,12.344,2019
HATS-49 b,1059,0.353 Jupiters,14.998,2020
HATS-4 b,1370,1.323 Jupiters,13.459,2014
HATS-50 b,2339,0.39 Jupiters,14.033,2017
HATS-51 b,1559,0.768 Jupiters,12.471,2017
HATS-52 b,2058,2.24 Jupiters,13.669,2017
HATS-53 b,2000,0.595 Jupiters,13.79,2017
HATS-54 b,2508,0.76 Jupiters,13.913,2019
HATS-55 b,2034,0.921 Jupiters,13.47,2019
HATS-56 b,1883,0.602 Jupiters,11.578,2019
HATS-57 b,913,3.147 Jupiters,12.344,2019
HATS-49 b,1059,0.353 Jupiters,14.998,2020
HATS-4 b,1370,1.323 Jupiters,13.459,2014
HATS-50 b,2339,0.39 Jupiters,14.033,2017
HATS-51 b,1559,0.768 Jupiters,12.471,2017
HATS-52 b,2058,2.24 Jupiters,13.669,2017
HATS-53 b,2000,0.595 Jupiters,13.79,2017
HATS-54 b,2508,0.76 Jupiters,13.913,2019
HATS-55 b,2034,0.921 Jupiters,13.47,2019
HATS-56 b,1883,0.602 Jupiters,11.578,2019
HATS-57 b,913,3.147 Jupiters,12.344,2019
HATS-49 b,1059,0.353 Jupiters,14.998,2020
HATS-4 b,1370,1.323 Jupiters,13.459,2014
HATS-50 b,2339,0.39 Jupiters,14.033,2017
HATS-51 b,1559,0.768 Jupiters,12.471,2017
HATS-52 b,2058,2.24 Jupiters,13.669,2017
HATS-53 b,2000,0.595 Jupiters,13.79,2017
HATS-54 b,2508,0.76 Jupiters,13.913,2019
HATS-55 b,2034,0.921 Jupiters,13.47,2019
HATS-56 b,1883,0.602 Jupiters,11.578,2019
HATS-57 b,913,3.147 Jupiters,12.344,2019
HATS-58 A b,1605,1.03 Jupiters,11.552,2019
HATS-59 b,2136,0.806 Jupiters,13.951,2018
HATS-59 c,2136,12.7 Jupiters,13.951,2018
HATS-5 b,838,0.237 Jupiters,12.63,2014
HATS-60 b,1612,0.662 Jupiters,12.641,2018
HATS-61 b,2264,3.4 Jupiters,13.233,2018
HATS-62 b,1686,0.179 Jupiters,14.015,2018
HATS-63 b,2071,0.96 Jupiters,13.892,2018
HATS-64 b,3533,0.96 Jupiters,12.924,2018
HATS-65 b,1615,0.821 Jupiters,12.497,2018
HATS-66 b,5017,5.33 Jupiters,14.095,2018
HATS-67 b,3203,1.45 Jupiters,13.653,2018
HATS-68 b,2017,1.29 Jupiters,12.276,2018
HATS-69 b,1371,0.577 Jupiters,13.945,2018
HATS-6 b,484,0.319 Jupiters,15.16,2015
HATS-70 b,4263,12.9 Jupiters,12.574,2019
HATS-71 b,460,0.37 Jupiters,15.351,2020
HATS-72 b,416,39.85588 Earths,12.469,2020
HATS-7 b,838,38.1396 Earths,13.34,2015
HATS-8 b,2704,0.138 Jupiters,14.03,2015
HATS-66 b,5017,5.33 Jupiters,14.095,2018
HATS-67 b,3203,1.45 Jupiters,13.653,2018
HATS-68 b,2017,1.29 Jupiters,12.276,2018
HATS-69 b,1371,0.577 Jupiters,13.945,2018
HATS-6 b,484,0.319 Jupiters,15.16,2015
HATS-70 b,4263,12.9 Jupiters,12.574,2019
HATS-71 b,460,0.37 Jupiters,15.351,2020
HATS-72 b,416,39.85588 Earths,12.469,2020
HATS-7 b,838,38.1396 Earths,13.34,2015
HATS-8 b,2704,0.138 Jupiters,14.03,2015
HATS-66 b,5017,5.33 Jupiters,14.095,2018
HATS-67 b,3203,1.45 Jupiters,13.653,2018
HATS-68 b,2017,1.29 Jupiters,12.276,2018
HATS-69 b,1371,0.577 Jupiters,13.945,2018
HATS-6 b,484,0.319 Jupiters,15.16,2015
HATS-70 b,4263,12.9 Jupiters,12.574,2019
HATS-71 b,460,0.37 Jupiters,15.351,2020
HATS-72 b,416,39.85588 Earths,12.469,2020
HATS-7 b,838,38.1396 Earths,13.34,2015
HATS-8 b,2704,0.138 Jupiters,14.03,2015
HATS-66 b,5017,5.33 Jupiters,14.095,2018
HATS-67 b,3203,1.45 Jupiters,13.653,2018
HATS-68 b,2017,1.29 Jupiters,12.276,2018
HATS-69 b,1371,0.577 Jupiters,13.945,2018
HATS-6 b,484,0.319 Jupiters,15.16,2015
HATS-70 b,4263,12.9 Jupiters,12.574,2019
HATS-71 b,460,0.37 Jupiters,15.351,2020
HATS-72 b,416,39.85588 Earths,12.469,2020
HATS-7 b,838,38.1396 Earths,13.34,2015
HATS-8 b,2704,0.138 Jupiters,14.03,2015
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HD 102195 b,96,0.41 Jupiters,8.062,2006
HD 102272 b,1142,4.94 Jupiters,8.69,2008
HD 102329 b,712,8.16 Jupiters,8.04,2011
HD 102329 c,712,1.52 Jupiters,8.04,2018
HD 102365 b,30,16 Earths,4.91,2010
HD 102843 b,205,0.35837 Jupiters,9.268,2019
HD 102956 b,399,0.96 Jupiters,7.86,2010
HD 103197 b,187,28.6047 Earths,9.391,2009
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.972,2012
HD 106906 b,337,11 Jupiters,7.797,2013
HD 10697 b,108,6.383 Jupiters,6.27,1999
HD 107148 b,161,0.21 Jupiters,8.015,2005
HD 108147 b,127,0.261 Jupiters,6.995,2002
HD 108236 b,211,3.24 Earths,9.238,2020
HD 108236 c,211,4.94 Earths,9.238,2020
HD 108236 d,211,6.98 Earths,9.238,2020
HD 108236 e,211,9.71 Earths,9.238,2020
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.972,2012
HD 106906 b,337,11 Jupiters,7.797,2013
HD 10697 b,108,6.383 Jupiters,6.27,1999
HD 107148 b,161,0.21 Jupiters,8.015,2005
HD 108147 b,127,0.261 Jupiters,6.995,2002
HD 108236 b,211,3.24 Earths,9.238,2020
HD 108236 c,211,4.94 Earths,9.238,2020
HD 108236 d,211,6.98 Earths,9.238,2020
HD 108236 e,211,9.71 Earths,9.238,2020
HD 108236 f,211,4.72 Earths,9.238,2021
HD 108341 b,161,3.5 Jupiters,9.36,2014
HD 108863 b,540,2.414 Jupiters,7.71,2011
HD 108874 b,194,1.42 Jupiters,8.738,2002
HD 108874 c,194,0.99 Jupiters,8.738,2005
HD 109246 b,222,0.86 Jupiters,8.77,2010
HD 109271 b,183,17.162 Earths,8.055,2013
HD 109271 c,183,24.154 Earths,8.055,2013
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.66,2009
HD 108236 f,211,4.72 Earths,9.238,2021
HD 108341 b,161,3.5 Jupiters,9.36,2014
HD 108863 b,540,2.414 Jupiters,7.71,2011
HD 108874 b,194,1.42 Jupiters,8.738,2002
HD 108874 c,194,0.99 Jupiters,8.738,2005
HD 109246 b,222,0.86 Jupiters,8.77,2010
HD 109271 b,183,17.162 Earths,8.055,2013
HD 109271 c,183,24.154 Earths,8.055,2013
HD 109749 b,206,0.27 Jupiters,8.08,2005
HD 110014 b,329,11.09 Jupiters,4.66,2009
HD 114386 b,91,1.14 Jupiters,8.73,2003
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 114729 b,123,0.825 Jupiters,6.687,2002
HD 114762 b,131,10.69 Jupiters,7.301,1989
HD 114783 b,67,1.1 Jupiters,7.55,2001
HD 114783 c,67,0.611 Jupiters,7.55,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 116029 b,403,1.4 Jupiters,8.04,2011
HD 116029 c,403,1.27 Jupiters,8.04,2018
HD 117207 b,106,1.926 Jupiters,7.24,2004
HD 11755 b,772,5.63 Jupiters,6.87,2015
HD 117618 b,123,0.174 Jupiters,7.169,2004
HD 118203 b,302,2.79 Jupiters,8.05,2005
HD 11964 b,110,0.622 Jupiters,6.42,2005
HD 11964 c,110,25 Earths,6.42,2008
HD 11977 b,222,6.54 Jupiters,4.69,2005
HD 120084 b,337,4.5 Jupiters,5.899,2013
HD 121504 b,136,1.51 Jupiters,7.517,2003
HD 12484 b,167,2.98 Jupiters,8.17,2016
HD 114386 b,91,1.14 Jupiters,8.73,2003
HD 114613 b,66,0.357 Jupiters,4.85,2014
HD 114729 b,123,0.825 Jupiters,6.687,2002
HD 114762 b,131,10.69 Jupiters,7.301,1989
HD 114783 b,67,1.1 Jupiters,7.55,2001
HD 114783 c,67,0.611 Jupiters,7.55,2018
HD 11506 b,167,4.83 Jupiters,7.51,2007
HD 11506 c,167,0.408 Jupiters,7.51,2008
HD 116029 b,403,1.4 Jupiters,8.04,2011
HD 116029 c,403,1.27 Jupiters,8.04,2018
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.972,2012
HD 106906 b,337,11 Jupiters,7.797,2013
HD 10697 b,108,6.383 Jupiters,6.27,1999
HD 107148 b,161,0.21 Jupiters,8.015,2005
HD 108147 b,127,0.261 Jupiters,6.995,2002
HD 108236 b,211,3.24 Earths,9.238,2020
HD 108236 c,211,4.94 Earths,9.238,2020
HD 108236 d,211,6.98 Earths,9.238,2020
HD 108236 e,211,9.71 Earths,9.238,2020
HD 108236 f,211,4.72 Earths,9.238,2021
HD 108341 b,161,3.5 Jupiters,9.36,2014
HD 108863 b,540,2.414 Jupiters,7.71,2011
HD 108874 b,194,1.42 Jupiters,8.738,2002
HD 108874 c,194,0.99 Jupiters,8.738,2005
